track_name,album,era,lyrics,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
"no body, no crime (feat. HAIM)",evermore,Evermore,"On je bil
On je bil
Este je moja prijateljica
Vsak torek se dobiva za večerjo in kozarec vina
Este ne spi dobro
Njen mož se vede drugače in misli, da gre za nezvestobo
Reče: ''To na njegovih ustih ni moj Merlot
Nakit na najinem skupnem računu ni moj''
Ne, ni nobenih dvomov
Mislim, da se bom soočila z njim
Reče: ''Mislim, da je bil on, a nimam dokazov''
Mislim, da je bil on, a nimam dokazov
Mislim, da je bil on, a nimam dokazov
Ne, ni trupla, ni umora
A ne bom obupala, dokler ne umrem
Ne, ne
Mislim, da je bil on
Ne, ne
Bil je on
V torek Este ni bila v Olive Garden-u
V njeni službi ali kjerkoli drugje
Prijavil je svojo pogrešano ženo
A ko sem se peljala mimo njegove hiše sem opazila
Da ima njegov avto čisto nove gume
In njegova ljubica se je vselila
Spi v Estejini postelji in vse
Ne, ni nobenih dvomov
Nekdo ga mora zasačiti ker
Mislim, da je bil on, a nimam dokazov (On je bil)
Mislim, da je bil on, a nimam dokazov (On je bil)
Mislim, da je bil on, a nimam dokazov
Ne, ni trupla, ni umora
A ne bom obupala, dokler ne umrem
Ne, ne
Mislim, da je bil on
Ne, ne
Bil je on
Še dobro, da me je očka prisilil, da dobim izpit za ladjo pri petnajstih
In počistila sem dovolj hiš, da znam prikriti tudi kraj zločina
Še dobro, da bo Estejina sestra rekla, da je bila z mano (Z mano je bila, model)
Še dobro, da je njegova ljubica dobila veliko denarja od zavarovalnice
Mislijo, da je bila ona, a nimajo dokazov
Mislijo, da je bila ona, a nimajo dokazov
Ona misli, da sem bila jaz, a nima dokazov
Ne, ni trupla, ni umora
Nisem obupala do dneva ko je
Ne, ni trupla, ni umora
Nisem obupala do dneva ko je
Ne, ni trupla, ni umora
Nisem obupala do dneva, ko je umrl",0.546,0.613,-7.589,0.0264,0.418,0.0,0.103,0.535,79.015,215627.0,7.0,0.0
Bejeweled,Midnights,Midnights,"Baby love, I think I've been a little too kind
Didn't notice you walkin' all over my peace of mind
In the shoes I gave you as a present
Puttin' someone first only works when you're in their top five
And by the way, I'm goin' out tonight
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put mе in the basement
Whеn I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice
Nice
Baby boy, I think I've been too good of a girl (Too good of a girl)
Did all the extra credit, then got graded on a curve
I think it's time to teach some lessons
I made you my world (Huh), have you heard? (Huh)
I can reclaim the land
And I miss you (Miss you), but I miss sparklin' (Nice)
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice
Nice
Sapphire tears on my face
Sadness became my whole sky
But some guy said my aura's moonstone
Just 'cause he was high
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do?
A diamond's gotta shine
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer (Shimmer)
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real (Nice), I polish up real nice
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do? What's a girl gonna do?
I polish up nice
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer",0.696,0.559,-9.19,0.0693,0.0618,5.58e-05,0.0887,0.433,163.999,194166.0,7.0,1.0
Getaway Car,reputation,Reputation,"No, nothin' good starts in a getaway car
It was the best of times, the worst of crimes
I struck a match and blew your mind
But I didn’t mean it and you didn't see it
The ties were black, the lies were white
In shades of gray in candlelight
I wanted to leave him, I needed a reason
""X"" marks the spot where we fell apart
He poisoned the well, I was lyin' to myself
I knew it from the first Old Fashioned, we were cursed
We never had a shotgun shot in the dark (Oh)
You were drivin’ the getaway car
We were flyin', but we'd never get far
Don't pretend it's such a mystery
Think about the place where you first met me
Ridin' in a getaway car
There were sirens in the beat of your heart
Shoulda known I'd be the first to leave
Think about the place where you first met me
In a getaway car (Oh-oh-oh)
No, they never get far (Oh-oh-ah)
No, nothin' good starts in a getaway car
It was the great escape, the prison break
The light of freedom on my face
But you weren’t thinkin’ and I was just drinkin'
While he was runnin’ after us, I was screamin', ""Go, go, go""
But with three of us, honey, it's a sideshow
And a circus ain't a love story and now we’re both sorry (We're both sorry)
""X"" marks the spot where we fell apart
He poisoned the well, every man for himself
I knew it from the first Old Fashioned, we were cursed
It hit you like a shotgun shot to the heart (Oh)
You were drivin' the getaway car
We were flyin', but we'd never get far
Don't pretend it's such a mystery
Think about the place where you first met me
Ridin' in a getaway car
There were sirens in the beat of your heart
Shoulda known I'd be the first to leave
Think about the place where you first met me
In a getaway car (Oh-oh-oh)
No, they never get far (Oh-oh-ah)
No, nothin' good starts in a getaway car
We were jet-set, Bonnie and Clyde (Oh-oh)
Until I switched to the other side, to the other side
It's no surprise I turned you in (Oh-oh)
'Cause us traitors never win
I'm in a getaway car
I left you in a motel bar
Put the money in a bag and I stole the keys
That was the last time you ever saw me (Oh)
Drivin' the getaway car
We were flyin', but we'd never get far (Don't pretend)
Don't pretend it's such a mystery
Think about the place where you first met me
Ridin' in a getaway car
There were sirens in the beat of your heart (Shoulda known)
Shoulda known I'd be the first to leave
Think about the place where you first met me
In a getaway car (Oh-oh-oh)
No, they never get far, oh-oh-ah
No, nothin' good starts in a getaway car
I was ridin' in a getaway car
I was cryin' in a getaway car
I was dyin' in a getaway car
Said goodbye in a getaway car
Ridin' in a getaway car
I was cryin' in a getaway car
I was dyin' in a getaway car
Said goodbye in a getaway car",0.562,0.689,-6.745,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627.0,2.0,1.0
Cornelia Street,Lover,Lover,"We were in the backseat
Drunk on something stronger than the drinks in the bar
""I rent a place on Cornelia Street""
I say casually in the car
We were a fresh page on the desk
Filling in the blanks as we go
As if the street lights pointed in an arrow head
Leading us home
And I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
Windows flung right open, autumn air
Jacket 'round my shoulders is yours
We bless the rains on Cornelia Street
Memorize the creaks in the floor
Back when we were card sharks, playing games
I thought you were leading me on
I packed my bags, left Cornelia Street
Before you even knew I was gone
But then you called, showed your hand
I turned around before I hit the tunnel
Sat on the roof, you and I
I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
You hold my hand on the street
Walk me back to that apartment
Years ago, we were just inside
Barefoot in the kitchen
Sacred new beginnings
That became my religion, listen
I hope I never lose you
I'd never walk Cornelia Street again
Oh, never again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
I don't wanna lose you (Hope it never ends)
I'd never walk Cornelia Street again
I don't wanna lose you (Yeah)
""I rent a place on Cornelia Street""
I say casually in the car",0.824,0.624,-9.728,0.0827,0.781,0.000189,0.1,0.248,102.012,287267.0,0.0,1.0
Dress,reputation,Reputation,"Our secret moments in a crowded room
They got no idea about me and you
There is an indentation in the shape of you
Made your mark on me, a golden tattoo
All of this silence and patience, pining and anticipation
My hands are shakin' from holdin’ back from you, ha, ah, ah
All of this silence and patience, pining and desperately waitin'
My hands are shakin' from all this, ah, ha, ha, ha-ah
Say my name and everything just stops
I don’t want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Inescapable, I'm not even gonna try
And if I get burned, at least we were electrified
I'm spillin' wine in the bathtub
You kiss my face and we're both drunk
Everyone thinks that they know us
But they know nothin' about
All of this silence and patience, pining and anticipation
My hands are shakin’ from holdin’ back from you, ha, ah, ah
All of this silence and patience, pining and desperately waitin'
My hands are shakin’ from all this, ah, ha, ha, ha-ah
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off
Flashback when you met me
Your buzzcut and my hair bleached
Even in my worst times
You could see the best in me
Flashback to my mistakes
My rebounds, my earthquakes
Even in my worst lies
You saw the truth in me
And I woke up just in time
Now I wake up by your side
My one and only, my lifeline
I woke up just in time
Now I wake up by your side
My hands shake, I can’t explain this, ah, ha, ha, ha-ah
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
There is an indentation in the shape of you
(Only bought this dress so you could take it off)
You made your mark on me, golden tattoo
(Only bought this dress so you could take it off)",0.719,0.469,-8.792,0.0533,0.0329,0.0,0.169,0.0851,120.085,230373.0,0.0,1.0
I Did Something Bad,reputation,Reputation,"I never trust a narcissist, but they love me
So I play 'em like a violin
And I make it look, oh, so easy
'Cause for every lie I tell them, they tell me three
This is how the world works
Now all he thinks about is me
I can feel the flames on my skin
Crimson red paint on my lips
If a man talks shit, then I owe him nothin'
I don't regret it one bit 'cause he had it comin'
They say I did somethin' bad
Then why's it feel so good?
They say I did somethin' bad
But why's it feel so good?
Most fun I ever had
And I'd do it over and over and over again if I could
It just felt so good, good
Ra-di-di-di-di-di-di-di-di-di-da-da
Ra-di-di-di-di-di-di-di-di-di-da-da
Ra-di-di-di-di-di-di-di-di-di-da-da
Da-da, da, da
I never trust a playboy, but they love me
So I fly 'em all around the world
And I let them think they saved me
They never see it comin', what I do next
This is how the world works
You gotta leave before you get left
I can feel the flames on my skin
He says, ""Don't throw away a good thing""
But if he drops my name, then I owe him nothin'
And if he spends my change, then he had it comin'
They say I did somethin' bad (
Da-da
)
Then why's it feel so good?
They say I did somethin' bad
But why's it feel so good?
Most fun I ever had
And I'd do it over and over and over again if I could
It just felt so good, good
Ra-di-di-di-di-di-di-di-di-di-da-da
Ra-di-di-di-di-di-di-di-di-di-da-da
(It just felt so good)
Ra-di-di-di-di-di-di-di-di-di-da-da
Da-da, da, da
They're burning all the witches, even if you aren't one
They got their pitchforks and proof, their receipts and reasons
They're burning all the witches, even if you aren't one
So light me up (Light me up), light me up (Light me up)
Light me up, go ahead and light me up (Light me up)
Light me up (Light me up), light me up (Light me up)
Light me up (Light me up), light me up
They say I did somethin' bad (Oh)
Then why's it feel so good? (So good)
They say I did somethin' bad
But why's it feel so (Good) good?
Most fun I ever had (Most fun I ever had)
And I'd do it over and over and over again if I could
It just felt so good (Good), good
Ra-di-di-di-di-di-di-di-di-di-da-da
 (Bad)
Ra-di-di-di-di-di-di-di-di-di-da-da
Oh, they say I did somethin' bad (They say I did somethin' bad)
Ra-di-di-di-di-di-di-di-di-di-da-da
Then why's it feel so good, good?
So good (Bad), why's it feel so good?
Why's it feel, why's it feel so good? (Bad)
It just felt so good, good",0.696,0.602,-6.156,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253.0,0.0,0.0
I Know Places,1989 (Deluxe),1989,"I-I-I-I, I-I-I-I
I-I-I-I, I-I-I-I
I-I-I-I, I-I-I-I, I-I (I, I)
You stand with your hand on my waistline
It's a scene and we're out here in plain sight
I can hear them whisper as we pass by
It's a bad sign, bad sign
Somethin' happens when everybody finds out
See the vultures circling, dark clouds
Love's a fragile little flame, it could burn out
It could burn out
'Cause they got the cages, they got the boxes and guns
They are the hunters, we are the foxes and we run
Baby, I know places we won't be found
And they'll be chasing their tails tryin' to track us down
'Cause I, I know places we can hide
I know places, I know places
Lights flash and we'll run for the fences
Let them say what they want, we won't hear it
Loose lips sink ships all the damn time
Not this time
Just grab my hand and don't ever drop it, my love
They are the hunters, we are the foxes and we run
Baby (Baby), I know places we won't be found
And they'll (They'll) be (Be) chasing their tails tryin' to track us down
'Cause I, I know places we can hide
I know places
They are the hunters, we are the foxes and we run
Just grab my hand and don't ever drop it, my love
Baby (Baby), I know places we won't be found
And they'll (They'll) be (Be) chasing their tails tryin' to track us down
'Cause I, I know places we can hide
I know places
(I) They take their shots, but we're bulletproof (I know places)
(Hide) And you know, for me, it's always you (I know places)
(I) In the dead of night, your eyes so green (I know places)
(Hide) And I know, for you, it's always me (I know places)
I-I-I-I, I-I-I-I
I-I-I-I, I-I-I-I (I, I)",0.596,0.763,-4.99,0.0661,0.231,0.0,0.2,0.507,159.958,195707.0,0.0,1.0
Don’t Blame Me,reputation,Reputation,"Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
I've been breakin' hearts a long time
And toyin' with them older guys
Just playthings for me to use
Somethin' happened for the first time
In the darkest little paradise
Shaking, pacin', I just need you
For you, I would cross the line
I would waste my time
I would lose my mind
They say, ""She's gone too far this time""
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
My name is whatever you decide and
I'm just gonna call you mine
I'm insane, but I'm your baby (Your baby)
Echoes (Echoes) of your name inside my mind
Halo hidin' my obsession
I once was poison ivy, but now, I'm your daisy
And, baby, for you, I (I) would (Would) fall from grace
Just (Just) to (To) touch your face
If (If) you (You) walk away
I'd beg ya on my knees to stay
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (Yeah, ooh)
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
I get so high, oh
Every time you're, every time you're lovin' me
You're lovin' me
Trip of my life, oh
Every time you're, every time you're touchin' me
You're touchin' me
Every time you're, every time you're lovin' me
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
(Usin' for the rest of my life, oh, woah)
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right (Doin' it right, no)
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (Oh)
Don't blame me, love made me crazy (Ooh)
If it doesn't, you ain't doin' it right (You ain't doin' it right)
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (I'll be usin', I'll be usin')
I get so high, oh
Every time you're, every time you're lovin' me
You're lovin' me
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life",0.615,0.534,-6.719,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413.0,9.0,0.0
How You Get The Girl,1989 (Deluxe),1989,"Oh, oh, oh
Oh, oh, oh
Oh-oh, oh-oh
Stand there like a ghost
Shaking from the rain, rain
She'll open up the door and say, ""Are you insane?""
Say it's been a long six months
And you were too afraid to tell her what you want, want
And that's how it works
That's how you get the girl
And then, you say
I want you for worse or for better
I would wait forever and ever
Broke your heart, I'll put it back together
I would wait forever and ever
And that's how it works
That's how you get the girl, girl (Oh-oh, oh)
And that's how it works
That's how you get the girl, girl
Remind her how it used to be, be, yeah-yeah
With pictures in frames of kisses on cheeks, cheeks
Tell her how you must have lost your mind, ooh-ooh
When you left her all alone
And never told her why, why
And that's how it works
That's how you lost the girl
And now, you say
I want you for worse or for better
I would wait forever and ever (Ever and ever)
Broke your heart, I'll put it back together
I would wait forever and ever
And that's how it works
That's how you get the girl, girl (Oh-oh, oh-oh)
And that's how it works
That's how you get the girl, girl
Yeah, yeah
And you know
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
That I don't want you to go, oh, oh
Remind me how it used to be
Pictures in frames of kisses on cheeks
And say you want me, yeah-yeah
And then you say
I want you for worse or for better (Worse or for better)
I would wait forever and ever (Ever and ever)
Broke your heart, I'll put it back together
I want you forever and ever (I would wait forever and ever)
And that's how it works
That's how you get the girl, girl (This is how it works)
And that's how it works
That's how you get the girl, girl (Get the girl)
(That's how it works)
And that's how it works
That's how you get the girl, girl
(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)
And that's how it works
That's how you get the girl, girl
(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)
And that's how it works
That's how you got the girl",0.764,0.66,-6.136,0.0494,0.00461,0.00477,0.0915,0.524,119.988,247533.0,5.0,1.0
cardigan,folklore,Folklore,"Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing
But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothing
But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'
'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing
But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite",0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,239560.0,0.0,0.0
Mastermind,Midnights,Midnights,"Once upon a time, the planets and the fates
And all the stars aligned
You and I ended up in the same room
At the same time
And the touch of a hand lit the fuse
Of a chain reaction of countermoves
To assess the equation of you
Checkmate, I couldn't lose
What if I told you none of it was accidental?
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all by dеsign
'Cause I'm a mastermind
You see, all the wisеst women
Had to do it this way
'Cause we were born to be the pawn
In every lover's game
If you fail to plan, you plan to fail
Strategy sets the scene for the tale
I'm the wind in our free-flowing sails
And the liquor in our cocktails
What if I told you none of it was accidental?
And the first night that you saw me
I knew I wanted your body
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all my design
'Cause I'm a mastermind
No one wanted to play with me as a little kid
So I've been scheming like a criminal ever since
To make them love me and make it seem effortless
This is the first time I've felt the need to confess
And I swear
I'm only cryptic and Machiavellian
'Cause I care
So I told you none of it was accidental
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Saw a wide smirk on your face
You knew the entire time
You knew that I'm a mastermind
And now you're mine
Yeah, all you did was smile
'Cause I'm a mastermind",0.662,0.357,-14.064,0.154,0.553,0.00129,0.0837,0.124,125.966,191039.0,4.0,1.0
I Forgot That You Existed,Lover,Lover,"How many days did I spend thinking
'Bout how you did me wrong, wrong, wrong?
Lived in the shade you were throwing
'Til all of my sunshine was gone, gone, gone
And I couldn't get away from ya
In my feelings more than Drake, so yeah
Your name on my lips, tongue-tied
Free rent, living in my mind
But then something happened one magical night
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you
Got out some popcorn
As soon as my rep started going down, down, down
Laughed on the school yard
As soon as I tripped up and hit the ground, ground, ground
And I would've stuck around for ya
Would've fought the whole town, so yeah
Would've been right there, front row
Even if nobody came to your show
But you showed who you are, then one magical night
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you
Sent me a clear message
Taught me some hard lessons
I just forget what they were
It's all just a blur
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
I did, I did, I did
It isn't hate, it's just indifference
It isn't love, it isn't hate, it's just indifference
So, yeah",0.664,0.316,-10.345,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640.0,5.0,1.0
hoax,folklore,Folklore,"My only one
My smoking gun
My eclipsed sun
This has broken me down
My twisted knife
My sleepless night
My winless fight
This has frozen my ground
Stood on the cliffside screaming, ""Give me a reason""
Your faithless love's the only hoax I believe in
Don't want no other shade of blue but you
No other sadness in the world would do
My best laid plan
Your sleight of hand
My barren land
I am ash from your fire
Stood on the cliffside screaming, ""Give me a reason""
Your faithless love's the only hoax I believe in
Don't want no other shade of blue but you
No other sadness in the world would do
You know I left a part of me back in New York
You knew the hero died so what's the movie for?
You knew it still hurts underneath my scars
From when they pulled me apart
You knew the password so I let you in the door
You knew you won so what's the point of keeping score?
You knew it still hurts underneath my scars
From when they pulled me apart
But what you did was just as dark
(Ah, ah, ah)
Darling, this was just as hard
As when they pulled me apart
My only one
My kingdom come undone
My broken drum
You have beaten my heart
Don't want no other shade of blue but you
No other sadness in the world would do",0.662,0.181,-15.065,0.0415,0.966,3.86e-06,0.133,0.429,118.819,220043.0,8.0,1.0
ME!,Lover,Lover,archer daylight daylight cruel daylight cruel summer archer daylight summer and I and the the love love we I love love I I the love I love we love the,0.61,0.83,-4.105,0.0571,0.033,0.0,0.118,0.728,182.162,193000.0,0.0,1.0
exile (feat. Bon Iver),folklore,Folklore,"Puedo verte de pie, cariño
Con sus brazos alrededor de tu cuerpo
Riéndote, pero la broma no es nada graciosa
Y te tomó sólo cinco minutos
Para olvidarte de nosotros y dejarme con todo eso
Manteniendo todo este amor aquí en el pasillo
Creo que he visto esta película antes
Y no me gustó el final
Y ya no eres mi problema
Entonces, ¿a quién estoy defendiendo ahora?
Eras mi ciudad, ahora estoy en el exilio, mirándote de lejos
Creo que he visto esta película antes
Uhh, uhh, uhh
Puedo verte mirándome, cariño
Como si él fuera sólo tú remplazo
Como si tus nudillos sangraran por mí
La segunda, la tercera y la centésima oportunidad
Nos balanceamos sobre ramas frágiles
Esa mirada son un insulto para las heridas
Creo que he visto esta película antes
Y no me gustó el final
Ya no soy tu problema
Entonces, ¿a quién estoy ofendiendo ahora?
Eras mi corona, ahora estoy en el exilio, mirándote de lejos
Creo que he visto esta película antes
Así que, me iré por la puerta lateral
Así que vete ya, no existe la cantidad
De lágrimas que pueda llorar por ti
Todo este tiempo
Siempre caminamos sobre una línea muy delgada
Ni siquiera me escuchaste
(Ni siquiera me escuchaste)
Nunca diste una señal de advertencia (Yo di tantas señales)
Todo este tiempo
Nunca aprendí a entender tu mentalidad (Nunca aprendiste a entender mi mentalidad)
No podía cambiar las cosas (Nunca cambiaste las cosas)
Porque nunca diste una señal de advertencia (Di tantas señales)
Tantas señales, tantas señales
Ni siquiera viste las señales
Creo que he visto esta película antes
Y no me gustó el final
Tú ya no eres mi problema
Entonces, ¿a quién estoy defendiendo ahora?
Eras mi ciudad, ahora estoy en el exilio, mirándote de lejos
Creo que he visto esta película antes
Así que, me iré por la puerta lateral
Así que vete ya, no existe la cantidad
De lágrimas que pueda llorar por ti
Todo este tiempo
Siempre caminamos sobre una línea muy delgada
Ni siquiera me escuchaste
(Ni siquiera me escuchaste)
Nunca diste una señal de advertencia (Yo di tantas señales)
Todo este tiempo, nunca aprendí a entender tú mentalidad (Nunca aprendiste a entender mi mentalidad)
No podía cambiar las cosas (Nunca cambiaste las cosas)
Porque nunca diste una señal de advertencia (Di tantas señales)
Nunca diste una señal de advertencia (Todo este tiempo)
(Tantas veces) Nunca aprendí a entender tú mentalidad
(Tantas señales) No podía cambiar las cosas (No podía cambiar las cosas)
Porque nunca diste una señal de advertencia
Nunca diste una señal de advertencia
Ah, ah",0.298,0.38,-8.426,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634.0,6.0,1.0
august,folklore,Folklore,"Salt air, and the rust on your door
I never needed anything more
Whispers of ""Are you sure?""
""Never have I ever before""
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
Your back beneath the sun
Wishin' I could write my name on it
Will you call when you're back at school?
I remember thinkin' I had you
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
Back when we were still changin' for the better
Wanting was enough
For me, it was enough
To live for the hope of it all
Cancel plans just in case you'd call
And say, ""Meet me behind the mall""
So much for summer love and saying ""us""
'Cause you weren't mine to lose
You weren't mine to lose, no
But I can see us lost in the memory
August slipped away into a moment in time
'Cause it was never mine
And I can see us twisted in bedsheets
August sipped away like a bottle of wine
'Cause you were never mine
'Cause you were never mine
Never mine
But do you remember?
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all, for the hope of it all
""Meet me behind the mall""
(Remember when I pulled up and said ""Get in the car"")
(And then canceled my plans just in case you'd call?)
(Back when I was livin' for the hope of it all, for the hope of it all)
(""Meet me behind the mall"")
Remember when I pulled up and said ""Get in the car""
And then canceled my plans just in case you'd call?
Back when I was livin' for the hope of it all (For the hope of it all)
For the hope of it all, for the hope of it all
(For the hope of it all, for the hope of it all)",0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923.0,5.0,1.0
Bigger Than The Whole Sky,Midnights,Midnights,bejeweled anti-hero haze midnight anti-hero anti-hero anti-hero haze haze anti-hero love love you we love you I the I I love we we I I you you and we I,0.422,0.235,-12.379,0.0568,0.826,0.00648,0.115,0.068,165.71,218503.0,6.0,1.0
